OBJECTID,X,Y,Z
189,-181886,-2322899,965.8705067
190,-182222,-2322805,966.5138899
191,-182428,-2322721,969.3626458
192,-182389,-2322634,969.8201874
193,-182554,-2322869,971.0717731
194,-182582,-2323114,965.9637971
195,-182555,-2323611,965.5734128
196,-182738,-2323439,965.4055955
197,-182825,-2323815,967.6190822
198,-182796,-2323345,967.5589602
199,-182629,-2323718,966.4838243
200,-183177,-2323720,966.6492053
201,-183146,-2323430,967.4233236
202,-183496,-2323717,968.2352334
203,-183738,-2323676,967.7856486
204,-183933,-2323660,970.957989
205,-183899,-2323956,975.6739612
206,-184175,-2323934,976.6953706
207,-184419,-2323397,973.7142444
208,-184301,-2323879,976.2646611
209,-183016,-2322405,976.0394835
210,-182757,-2322223,977.4018714
211,-183282,-2322564,975.3682395
212,-183123,-2322104,980.175638
213,-183725,-2322484,980.465819
214,-184071,-2322727,978.8847848
215,-183755,-2322864,975.2534345
216,-183359,-2322918,972.4917632
217,-182378,-2323648,967.4744364
218,-182388,-2323985,976.6968326
219,-182014,-2324104,983.7897733
220,-181738,-2324035,986.3982718
221,-181528,-2323647,978.632636
222,-181354,-2324133,990.5434558
223,-181525,-2324232,989.979842
224,-182834,-2324040,970.8874511
225,-183060,-2323999,968.6610376
226,-183312,-2323979,971.3103247
227,-183446,-2323406,968.0192898
228,-183663,-2323772,969.0654286
229,-183789,-2324122,978.108376
230,-183484,-2324191,976.6731338
231,-181463,-2322392,976.1586419
232,-182009,-2322484,971.2645347
233,-182022,-2322235,975.8225329
234,-182463,-2322336,974.1503141
235,-182173,-2322381,972.4869543
236,-182974,-2322701,972.9847886
237,-182788,-2322828,972.3359471
238,-183236,-2322703,974.3895055
239,-183464,-2322910,972.5382003
240,-183649,-2323075,971.684944
241,-183631,-2323459,970.5002509
242,-183974,-2323567,970.5156997
243,-184580,-2323992,979.310248
244,-184404,-2323938,977.1997511
245,-183302,-2323958,970.6341913
246,-183274,-2324117,974.2198919
247,-183176,-2324440,978.637487
248,-183128,-2324444,979.094207
249,-183077,-2324426,978.3004301
250,-182996,-2324432,977.8781035
251,-182825,-2324445,977.3858007
252,-182746,-2324474,977.1346357
253,-182646,-2324347,976.1920116
254,-182705,-2324477,976.3099371
255,-182640,-2324482,976.3631266
256,-182344,-2324461,981.8963853
257,-182260,-2324332,981.827174
258,-182489,-2323909,971.9636122
259,-182027,-2323653,973.2019837
260,-182532,-2324356,978.731879
261,-182274,-2324399,982.5117025
262,-182061,-2324393,983.7493735
263,-182057,-2324348,983.9252331
264,-182424,-2322361,973.4934995
265,-182580,-2322259,975.7245928
266,-182693,-2322768,971.609927
267,-182793,-2322580,972.519312
268,-183128,-2322576,974.5962794
269,-183510,-2322456,977.8679757
270,-183999,-2323160,972.1512418
271,-184105,-2322949,977.2222136
272,-184113,-2323466,971.6406411
273,-184396,-2323736,975.050967
274,-184159,-2323732,975.1698336
275,-182975,-2322408,975.4064802
276,-182178,-2322966,967.0096953
277,-181785,-2322862,965.6700524
278,-181326,-2322312,977.9822883
279,-181196,-2322322,980.1303569
280,-181044,-2322784,976.0493874
281,-181103,-2323117,974.8586272
282,-183917,-2324292,979.7733479
283,-183608,-2324316,980.2315602
284,-183415,-2324354,979.1435982
