ID,Distance,Elevation
1,0,959.3949610178951
2,4.656859093984822,959.2976279045466
3,9.313718187969643,959.2025361334547
4,13.970577281954462,959.1422423494504
5,18.627436375939286,959.1184754108785
6,23.284295469924103,959.0855929477275
7,27.941154563908924,958.9900339627104
8,32.598013657893745,958.8268242174167
9,37.25487275187857,958.6434935967732
10,41.911731845863386,958.5345617769294
11,46.56859093984821,958.5562401470105
12,51.225450033833035,958.6510313089631
13,55.88230912781785,958.7089662774415
14,60.539168221802676,958.6621588490609
15,65.19602731578749,958.5487209391392
16,69.85288640977231,958.4508614787883
17,74.50974550375715,958.4204036719321
18,79.16660459774195,958.4277430485397
19,83.82346369172677,958.4575088804498
20,88.4803227857116,958.4690084452486
21,93.13718187969641,958.4277281074958
22,97.79404097368123,958.3462777543377
23,102.45090006766607,958.2858153280881
24,107.10775916165088,958.2986891505001
25,111.7646182556357,958.3231721342956
26,116.42147734962052,958.2657899968592
27,121.07833644360535,958.1210507436365
28,125.73519553759017,958.0103998353309
29,130.39205463157498,958.0239279419143
30,135.0489137255598,958.10160396223
31,139.70577281954462,958.1262958646578
32,144.36263191352947,958.0532353042117
33,149.0194910075143,957.9497128560018
34,153.67635010149908,957.8878907423878
35,158.3332091954839,957.8630681631491
36,162.99006828946872,957.8511283458084
37,167.64692738345354,957.8184016037737
38,172.3037864774384,957.773107632645
39,176.9606455714232,957.7550864188776
40,181.617504665408,957.803362593268
41,186.27436375939283,957.8815668499956
42,190.93122285337765,957.9296236576738
43,195.58808194736247,957.8903082217062
44,200.24494104134732,957.7916532180805
45,204.90180013533214,957.698234269797
46,209.55865922931693,957.674333419096
47,214.21551832330175,957.7124874993888
48,218.87237741728657,957.737548647352
49,223.5292365112714,957.6916419188758
50,228.1860956052562,957.6023484290192
51,232.84295469924103,957.5018792875611
52,237.49981379322588,957.4357576190635
53,242.1566728872107,957.4230467132629
54,246.81353198119552,957.4660668801221
55,251.47039107518034,957.5152411743533
56,256.12725016916517,957.529462165704
57,260.78410926314996,957.5122899938495
58,265.4409683571348,957.4393050323916
59,270.0978274511196,957.3321003234007
60,274.75468654510445,957.2540734163636
61,279.41154563908924,957.2239189411745
62,284.06840473307403,957.1984817262709
63,288.72526382705894,957.1291950230884
64,293.38212292104373,957.0557667882404
65,298.0389820150286,957.0223208879324
66,302.6958411090134,956.9993539238258
67,307.35270020299816,956.9445219773521
68,312.009559296983,956.8910804278448
69,316.6664183909678,956.8863664005679
70,321.32327748495265,956.9180206756023
71,325.98013657893745,956.9215419965344
72,330.6369956729223,956.8854294693281
73,335.2938547669071,956.8602692100424
74,339.95071386089194,956.856671566356
75,344.6075729548768,956.840382412686
76,349.2644320488616,956.793641510842
77,353.9212911428464,956.7343593770538
78,358.5781502368312,956.6935456137077
79,363.235009330816,956.679531254477
80,367.89186842480086,956.6800483483858
81,372.54872751878565,956.6874870632515
82,377.2055866127705,956.6957991160248
83,381.8624457067553,956.716971620419
84,386.51930480074014,956.7345804623264
85,391.17616389472494,956.7320702317577
86,395.8330229887098,956.6954069079969
87,400.48988208269463,956.6505175185748
88,405.1467411766794,956.6400991239493
89,409.8036002706643,956.6474756300792
90,414.46045936464907,956.6459878837346
91,419.11731845863386,956.6423035765538
92,423.7741775526187,956.6476873123574
93,428.4310366466035,956.6640625
94,433.08789574058835,956.6496279469748
95,437.74475483457314,956.5802777430445
96,442.401613928558,956.4865660049596
97,447.0584730225428,956.4471339539216
98,451.71533211652763,956.4827533124766
99,456.3721912105124,956.5436158340913
100,461.0290503044972,956.5659042006828
101,465.68590939848207,956.5580742756606
102,470.342768492467,956.5393169452191
103,474.99962758645177,956.5296028528753
104,479.6564866804366,956.5386615171183
105,484.3133457744214,956.5611716435623
106,488.97020486840626,956.5309160074141
107,493.62706396239105,956.4061568273992
108,498.28392305637584,956.2579765859036
109,502.9407821503607,956.1738295680082
110,507.5976412443455,956.1803891966982
111,512.2545003383303,956.2364330985797
112,516.9113594323152,956.3141399923888
113,521.5682185262999,956.3834505102858
114,526.2250776202848,956.3994821625967
115,530.8819367142696,956.3943712227717
116,535.5387958082543,956.3917694301123
117,540.1956549022392,956.3418515660721
118,544.852513996224,956.2209255087323
119,549.5093730902089,956.1184051704049
120,554.1662321841936,956.1466670308876
121,558.8230912781785,956.255766953848
122,563.4799503721633,956.3075831687089
123,568.1368094661481,956.2606670222208
124,572.7936685601329,956.1851867195504
125,577.4505276541179,956.1651281302185
126,582.1073867481026,956.1639475936686
127,586.7642458420875,956.1362065176709
128,591.4211049360723,956.066824552087
129,596.0779640300572,956.0034268655199
130,600.7348231240419,955.98073063426
131,605.3916822180267,955.9922962368285
132,610.0485413120116,956.0110900803527
133,614.7054004059963,956.0047584712055
134,619.3622594999812,955.942776263031
135,624.019118593966,955.8208253012194
136,628.6759776879509,955.71207262185
137,633.3328367819356,955.6617241165218
138,637.9896958759205,955.6648333413231
139,642.6465549699053,955.6550153284334
140,647.30341406389,955.6026152185234
141,651.9602731578749,955.5014619578777
142,656.6171322518597,955.3527436330141
143,661.2739913458446,955.2023788310889
144,665.9308504398293,955.0935995511481
145,670.5877095338142,955.0577173535083
146,675.244568627799,955.0744423158701
147,679.9014277217839,955.0925016015639
148,684.5582868157687,955.0941670153028
149,689.2151459097536,955.1026316480367
150,693.8720050037383,955.1740188962133
151,698.5288640977232,955.3086492522796
152,703.185723191708,955.4515487220488
153,707.8425822856929,955.5484753505439
154,712.4994413796776,955.6189800160355
155,717.1563004736624,955.7136757970078
156,721.8131595676473,955.8554677899234
