ID,Distance,Elevation
1,0,961.405580574041
2,4.656859093984822,961.2826645919678
3,9.313718187969643,961.2077410646664
4,13.970577281954462,961.1196202250237
5,18.627436375939286,960.9915455025912
6,23.284295469924103,960.8560628924538
7,27.941154563908924,960.7599045087807
8,32.598013657893745,960.6756477956175
9,37.25487275187857,960.5889067965385
10,41.911731845863386,960.546875
11,46.56859093984821,960.5627512599267
12,51.225450033833035,960.5787494459366
13,55.88230912781785,960.5028112291959
14,60.539168221802676,960.358936215778
15,65.19602731578749,960.2298765227281
16,69.85288640977231,960.138268291349
17,74.50974550375715,960.051569593844
18,79.16660459774195,959.9523753377609
19,83.82346369172677,959.849926589569
20,88.4803227857116,959.750998851055
21,93.13718187969641,959.6781544198969
22,97.79404097368123,959.6678160601479
23,102.45090006766607,959.6990818570504
24,107.10775916165088,959.7012979324319
25,111.7646182556357,959.6357435060926
26,116.42147734962052,959.5516216437131
27,121.07833644360535,959.4874678002875
28,125.73519553759017,959.450351012531
29,130.39205463157498,959.4407181049141
30,135.0489137255598,959.4575360948021
31,139.70577281954462,959.4710682585178
32,144.36263191352947,959.4250243098791
33,149.0194910075143,959.3238674039679
34,153.67635010149908,959.2091846909032
35,158.3332091954839,959.1047105593591
36,162.99006828946872,959.0070860517668
37,167.64692738345354,958.9272995638751
38,172.3037864774384,958.9020700283013
39,176.9606455714232,958.9625080201969
40,181.617504665408,959.0647194178537
41,186.27436375939283,959.1147859486748
42,190.93122285337765,959.076584107821
43,195.58808194736247,958.9960238650741
44,200.24494104134732,958.9184388492708
45,204.90180013533214,958.8582242244391
46,209.55865922931693,958.831312908768
47,214.21551832330175,958.8358045220391
48,218.87237741728657,958.8675620161382
49,223.5292365112714,958.8584450233691
50,228.1860956052562,958.7841221819567
51,232.84295469924103,958.6713487907851
52,237.49981379322588,958.5920076190635
53,242.1566728872107,958.5539550241942
54,246.81353198119552,958.5197199824584
55,251.47039107518034,958.4612333944174
56,256.12725016916517,958.4046192487001
57,260.78410926314996,958.4072144247348
58,265.4409683571348,958.4392309683433
59,270.0978274511196,958.4331490437107
60,274.75468654510445,958.3543172362467
61,279.41154563908924,958.2467748935708
62,284.06840473307403,958.1290831730316
63,288.72526382705894,958.0320568664091
64,293.38212292104373,958.019527378648
65,298.0389820150286,958.1026945793901
66,302.6958411090134,958.1847810648662
67,307.35270020299816,958.1538182571977
68,312.009559296983,958.0162113770735
69,316.6664183909678,957.8744307592016
70,321.32327748495265,957.8263187064247
71,325.98013657893745,957.8440037725004
72,330.6369956729223,957.818259085429
73,335.2938547669071,957.7254019051824
74,339.95071386089194,957.6384743782855
75,344.6075729548768,957.5861408731271
76,349.2644320488616,957.546273833742
77,353.9212911428464,957.5352643290332
78,358.5781502368312,957.5818870500229
79,363.235009330816,957.6104317374253
80,367.89186842480086,957.5560605488972
81,372.54872751878565,957.4626426878458
82,377.2055866127705,957.421875
83,381.8624457067553,957.4510892436556
84,386.51930480074014,957.4590451986139
85,391.17616389472494,957.4098644109538
86,395.8330229887098,957.3206447145329
87,400.48988208269463,957.2373801691278
88,405.1467411766794,957.1866342036192
89,409.8036002706643,957.1589098279646
90,414.46045936464907,957.1353545976646
91,419.11731845863386,957.1088839702545
92,423.7741775526187,957.1113038963726
93,428.4310366466035,957.1231162656095
94,433.08789574058835,957.0630091279293
95,437.74475483457314,956.9379746934142
96,442.401613928558,956.893665737841
97,447.0584730225428,956.9780320714116
98,451.71533211652763,957.0994993532161
99,456.3721912105124,957.156520933686
100,461.0290503044972,957.1262673461124
101,465.68590939848207,957.0478537178215
102,470.342768492467,957.023926561223
103,474.99962758645177,957.1049764273635
104,479.6564866804366,957.2171891855152
105,484.3133457744214,957.2249953309654
106,488.97020486840626,957.1542539283089
107,493.62706396239105,957.0909849245617
108,498.28392305637584,957.0818957291904
109,502.9407821503607,957.1022735916711
110,507.5976412443455,957.1651410203878
111,512.2545003383303,957.21824199238
112,516.9113594323152,957.224067959793
113,521.5682185262999,957.2371486264217
114,526.2250776202848,957.3454776215108
115,530.8819367142696,957.5116376861763
116,535.5387958082543,957.6154653901733
117,540.1956549022392,957.5940249037953
118,544.852513996224,957.5237865020463
119,549.5093730902089,957.5197579115616
120,554.1662321841936,957.6100853837216
121,558.8230912781785,957.7207679897457
122,563.4799503721633,957.7559333939108
123,568.1368094661481,957.7257631598395
124,572.7936685601329,957.7002753547622
125,577.4505276541179,957.7113320618822
126,582.1073867481026,957.7028213501081
127,586.7642458420875,957.6182404504807
128,591.4211049360723,957.4945491762873
129,596.0779640300572,957.3981804469622
130,600.7348231240419,957.3579079782237
131,605.3916822180267,957.4468936394828
132,610.0485413120116,957.6533377901613
133,614.7054004059963,957.8800083500546
134,619.3622594999812,957.995196653234
135,624.019118593966,957.9703715031783
136,628.6759776879509,957.9089142568621
137,633.3328367819356,957.9117139848983
138,637.9896958759205,957.9891962368785
139,642.6465549699053,958.0887885652552
140,647.30341406389,958.16981712697
141,651.9602731578749,958.2615607410837
142,656.6171322518597,958.3879648793416
143,661.2739913458446,958.5306688324345
144,665.9308504398293,958.5919511293084
145,670.5877095338142,958.5343147469412
146,675.244568627799,958.3932921861051
147,679.9014277217839,958.2506368330053
148,684.5582868157687,958.2068681012789
149,689.2151459097536,958.2805394865724
150,693.8720050037383,958.3831102766476
151,698.5288640977232,958.4168449888975
152,703.185723191708,958.408491126004
153,707.8425822856929,958.4380475026878
154,712.4994413796776,958.4978328862528
155,717.1563004736624,958.5303151115578
156,721.8131595676473,958.497443854275
157,726.470018661632,958.4210361769328
