OBJECTID,X,Y,Z
189,-183066,-2325814,976.4221903
190,-183410,-2326051,976.2843425
191,-183561,-2325841,974.5703259
192,-183824,-2325820,974.0646804
193,-184290,-2325618,971.4195999
194,-184332,-2325548,970.3606792
195,-184332,-2325548,970.3606792
196,-184332,-2325548,970.3606792
197,-184332,-2325548,970.3606792
198,-184144,-2325596,971.4614768
199,-184089,-2325965,973.2264861
200,-184278,-2326380,975.6126113
201,-183017,-2325995,978.5788703
202,-183288,-2325868,975.3212197
203,-183538,-2325637,973.0601187
204,-183767,-2325619,973.3997666
205,-184518,-2325735,970.7559379
206,-184681,-2325863,972.0026915
207,-184644,-2326042,972.9421461
208,-184638,-2326288,974.4663664
209,-184638,-2326288,974.4663664
210,-184844,-2326307,976.0811934
211,-184854,-2326588,978.2070496
212,-184536,-2326613,977.3342312
213,-184305,-2326596,977.5279574
214,-183274,-2325693,974.9159367
215,-183299,-2325515,975.3600492
216,-183056,-2325851,976.9374488
217,-182936,-2325298,976.3552311
218,-183111,-2325249,976.0628272
219,-184285,-2325543,970.9519925
220,-184237,-2325898,972.0785463
221,-184139,-2326117,974.389007
222,-183598,-2325914,974.9960217
223,-183547,-2326234,978.6167747
224,-183277,-2326537,981.6221039
225,-184044,-2326371,976.8400947
226,-184601,-2325658,971.0866198
227,-184866,-2325778,973.7920667
228,-185081,-2325902,975.6017502
229,-185018,-2326082,976.2458727
230,-184865,-2325919,973.4463011
231,-184984,-2326296,976.8883656
232,-184997,-2326612,979.9649992
233,-184981,-2326261,976.7001382
234,-183889,-2325222,976.4116951
235,-183796,-2325335,975.3251236
236,-183897,-2325644,973.0870642
237,-183973,-2325638,972.8975772
238,-184325,-2325891,971.7773229
239,-183434,-2326102,977.0459556
240,-183650,-2325593,973.5365552
241,-183730,-2325798,974.2824394
242,-183731,-2325973,975.2737255
243,-183721,-2326326,978.1720381
244,-183836,-2326493,979.2120576
245,-184005,-2326690,979.7278414
246,-183735,-2326184,976.6562306
247,-183801,-2326531,979.9156119
248,-183915,-2326522,978.7854259
249,-183839,-2326528,979.5435337
250,-183730,-2326607,980.2656206
251,-183453,-2325855,974.3883112
252,-183472,-2326099,976.6247095
253,-183567,-2326655,980.6629347
254,-183394,-2326563,982.2201726
255,-183500,-2326449,980.5812128
256,-183398,-2326457,980.6632942
257,-183366,-2326530,981.4871855
258,-183255,-2326257,979.4917529
259,-183146,-2326336,981.1928325
260,-182975,-2326279,981.6838714
261,-183130,-2326619,982.8589792
262,-182879,-2326357,983.6667353
263,-183015,-2326628,983.981785
264,-182916,-2326671,985.7543396
265,-182830,-2326713,987.5880616
266,-182781,-2326083,981.1207576
267,-182868,-2325725,976.8624305
268,-182908,-2325265,976.5659324
269,-182799,-2325343,977.0532742
270,-182749,-2325031,978.4199202
271,-183143,-2325000,978.2918827
272,-183534,-2324934,979.1492914
273,-183747,-2324882,979.3120682
274,-184220,-2325372,972.2000733
275,-184560,-2325943,971.494829
276,-184660,-2326076,973.0824493
277,-184606,-2326361,974.5168774
278,-184744,-2326491,976.616867
279,-184748,-2326702,978.2884828
280,-184633,-2326711,977.6095138
281,-184352,-2326065,973.3815888
282,-184420,-2326271,974.4226122
283,-184247,-2326355,975.749893
284,-184101,-2326612,978.453906
285,-184179,-2326465,976.6804284
286,-183955,-2326061,974.5331663
287,-183910,-2326135,975.0893387
288,-183486,-2325465,974.8869293
289,-183309,-2325163,977.2915807
290,-183501,-2325007,979.1270567
291,-183182,-2325173,976.5200908
292,-182963,-2325155,976.7713331
293,-182849,-2325164,977.5061856
294,-182915,-2325194,976.9353254
295,-182982,-2325716,976.2404512
296,-183186,-2325876,976.4492274
297,-183262,-2326186,978.8411351
298,-183076,-2326095,978.9164213
299,-182872,-2326111,980.7647511
300,-183029,-2325994,978.3579113
301,-183548,-2326410,980.2063408
302,-183679,-2326611,980.6816228
303,-183858,-2326772,981.0664042
304,-184077,-2326790,980.7921796
305,-184344,-2326769,978.9527349
306,-184140,-2325484,971.1747706
307,-184244,-2325827,971.6018289
308,-184360,-2326170,973.9857579
309,-184500,-2326159,973.2941903
310,-184383,-2325324,972.8547306
