OBJECTID,X,Y,Z
189,-181886,-2322899,964.821512
190,-182222,-2322805,966.0287516
191,-182428,-2322721,968.2122412
192,-182389,-2322634,969.0715851
193,-182554,-2322869,970.706427
194,-182582,-2323114,962.4799944
195,-182555,-2323611,963.1324582
196,-182738,-2323439,965.5379829
197,-182825,-2323815,966.9610042
198,-182796,-2323345,966.090201
199,-182629,-2323718,965.9409129
200,-183177,-2323720,966.2521593
201,-183146,-2323430,967.6292772
202,-183496,-2323717,968.0662776
203,-183738,-2323676,967.3843234
204,-183933,-2323660,969.1838614
205,-183899,-2323956,975.6593861
206,-184175,-2323934,976.8253271
207,-184419,-2323397,974.5357954
208,-184301,-2323879,976.1439363
209,-183016,-2322405,975.799789
210,-182757,-2322223,976.8003821
211,-183282,-2322564,975.4976102
212,-183123,-2322104,979.1895747
213,-183725,-2322484,979.3975885
214,-184071,-2322727,978.3859593
215,-183755,-2322864,974.3508533
216,-183359,-2322918,970.8674599
217,-182378,-2323648,966.352794
218,-182388,-2323985,974.9277375
219,-182014,-2324104,982.7938761
220,-181738,-2324035,985.1921764
221,-181528,-2323647,977.9143441
222,-181354,-2324133,989.9360167
223,-181525,-2324232,989.3367623
224,-182834,-2324040,970.6949716
225,-183060,-2323999,968.0225474
226,-183312,-2323979,971.0078762
227,-183446,-2323406,968.3301838
228,-183663,-2323772,968.7515356
229,-183789,-2324122,977.8903171
230,-183484,-2324191,976.2278159
231,-181463,-2322392,975.4595199
232,-182009,-2322484,970.9206701
233,-182022,-2322235,975.4260099
234,-182463,-2322336,973.7273767
235,-182173,-2322381,972.3181291
236,-182974,-2322701,973.3916237
237,-182788,-2322828,969.8917697
238,-183236,-2322703,974.5859059
239,-183464,-2322910,972.4908528
240,-183649,-2323075,971.1528708
241,-183631,-2323459,970.5894208
242,-183974,-2323567,970.5671583
243,-184580,-2323992,978.9667321
244,-184404,-2323938,976.8809079
245,-183302,-2323958,970.1967744
246,-183274,-2324117,974.1406447
247,-183176,-2324440,978.5234509
248,-183128,-2324444,978.1636689
249,-183077,-2324426,977.6270998
250,-182996,-2324432,977.2831255
251,-182825,-2324445,976.4670618
252,-182746,-2324474,975.6771606
253,-182646,-2324347,976.0833593
254,-182705,-2324477,974.8566716
255,-182640,-2324482,975.9686731
256,-182344,-2324461,981.3724731
257,-182260,-2324332,980.8513176
258,-182489,-2323909,971.638249
259,-182027,-2323653,972.081536
260,-182532,-2324356,977.9416866
261,-182274,-2324399,981.7459256
262,-182061,-2324393,983.1414847
263,-182057,-2324348,983.6673816
264,-182424,-2322361,973.5070909
265,-182580,-2322259,975.6659721
266,-182693,-2322768,971.1770809
267,-182793,-2322580,971.9760184
268,-183128,-2322576,974.7327304
269,-183510,-2322456,978.033898
270,-183999,-2323160,971.5129717
271,-184105,-2322949,976.4107156
272,-184113,-2323466,971.311433
273,-184396,-2323736,975.1031832
274,-184159,-2323732,974.6756132
275,-182975,-2322408,975.211051
276,-182178,-2322966,967.4093576
277,-181785,-2322862,964.6995012
278,-181326,-2322312,977.1092168
279,-181196,-2322322,979.8895506
280,-181044,-2322784,975.5981416
281,-181103,-2323117,974.527789
282,-183917,-2324292,979.7765676
283,-183608,-2324316,979.7155374
284,-183415,-2324354,978.7833617
285,-183358,-2324358,978.4262315
286,-183401,-2324175,975.4564888
287,-183591,-2324205,977.5675578
288,-183682,-2324220,978.6928651
289,-184167,-2324249,979.5342797
290,-182631,-2323538,963.6775907
291,-183642,-2322986,971.5773186
292,-183829,-2322971,976.2280731
293,-183984,-2322351,984.7358798
294,-184107,-2321936,986.567301
295,-183967,-2321925,985.7209529
296,-183760,-2321896,984.5977984
297,-183679,-2321902,983.547291
298,-183583,-2321932,982.1081324
299,-183437,-2321944,980.9798965
300,-183281,-2321934,980.6159862
301,-183222,-2322006,980.5208249
302,-183129,-2321968,979.4993469
303,-183054,-2321952,979.2466757
304,-182973,-2322071,978.5091026
305,-182888,-2322640,972.2082832
306,-182869,-2322304,976.7192108
