OBJECTID,X,Y,Z
191,-183561,-2325841,973.2220872
192,-183824,-2325820,972.4203823
193,-184290,-2325618,969.7713
194,-184332,-2325548,970.589314
195,-184332,-2325548,970.589314
196,-184332,-2325548,970.589314
197,-184332,-2325548,970.589314
198,-184144,-2325596,969.3406968
199,-184089,-2325965,971.7073209
200,-184278,-2326380,974.3043524
201,-183017,-2325995,977.4668081
202,-183288,-2325868,974.681307
203,-183538,-2325637,972.9025542
204,-183767,-2325619,973.1212506
205,-184518,-2325735,970.025131
206,-184681,-2325863,970.5316379
207,-184644,-2326042,971.5901965
208,-184638,-2326288,973.4494887
209,-184638,-2326288,973.4494887
210,-184844,-2326307,974.6360143
211,-184854,-2326588,976.7467919
212,-184536,-2326613,975.9177225
213,-184305,-2326596,975.8657094
214,-183274,-2325693,973.7954398
215,-183299,-2325515,974.2064247
216,-183056,-2325851,975.8738624
217,-182936,-2325298,974.9941865
218,-183111,-2325249,975.3508701
219,-184285,-2325543,971.24614
220,-184237,-2325898,970.6534348
221,-184139,-2326117,972.6638466
222,-183598,-2325914,973.4355911
223,-183547,-2326234,976.9079926
224,-183277,-2326537,980.502942
225,-184044,-2326371,975.4525845
226,-184601,-2325658,969.9414631
227,-184866,-2325778,972.6067792
228,-185081,-2325902,974.6714972
229,-185018,-2326082,975.3579155
230,-184865,-2325919,972.8701773
231,-184984,-2326296,975.3294495
232,-184997,-2326612,979.0391226
233,-184981,-2326261,975.6351273
234,-183889,-2325222,975.2939348
235,-183796,-2325335,974.3896589
236,-183897,-2325644,972.4749094
237,-183973,-2325638,972.1641796
238,-184325,-2325891,970.9045815
239,-183434,-2326102,974.0942506
240,-183650,-2325593,971.2912832
241,-183730,-2325798,973.0197982
242,-183731,-2325973,973.7449067
243,-183721,-2326326,976.866856
244,-183836,-2326493,977.6809093
245,-184005,-2326690,977.7839988
246,-183735,-2326184,975.3450843
247,-183801,-2326531,978.4483995
248,-183915,-2326522,977.801456
249,-183839,-2326528,978.2650577
250,-183730,-2326607,979.4540539
251,-183453,-2325855,973.3851263
252,-183472,-2326099,975.7062728
253,-183567,-2326655,979.6307277
254,-183394,-2326563,980.6457626
255,-183500,-2326449,979.3325149
256,-183398,-2326457,979.2547064
257,-183366,-2326530,979.9354439
258,-183255,-2326257,978.5313102
259,-183146,-2326336,979.8454097
260,-182975,-2326279,980.8144672
261,-183130,-2326619,981.7028693
262,-182879,-2326357,982.4153635
263,-183015,-2326628,982.7347971
264,-182916,-2326671,984.9150954
265,-182830,-2326713,986.1972165
266,-182781,-2326083,979.8768336
267,-182868,-2325725,976.0486682
268,-182908,-2325265,975.7696687
269,-182799,-2325343,975.5083227
270,-182749,-2325031,977.6101032
271,-183143,-2325000,976.9840117
272,-183534,-2324934,978.4780402
273,-183747,-2324882,978.4499363
274,-184220,-2325372,971.2496541
275,-184560,-2325943,970.4538762
276,-184660,-2326076,971.9143608
277,-184606,-2326361,973.587088
278,-184744,-2326491,975.0076328
279,-184748,-2326702,976.91743
280,-184633,-2326711,976.4904193
281,-184352,-2326065,971.9400676
282,-184420,-2326271,972.861711
283,-184247,-2326355,974.357185
284,-184101,-2326612,977.233435
285,-184179,-2326465,975.5935715
286,-183955,-2326061,973.2714299
287,-183910,-2326135,973.784774
288,-183486,-2325465,974.0840576
289,-183309,-2325163,975.8344386
290,-183501,-2325007,978.3491455
291,-183182,-2325173,975.6320095
292,-182963,-2325155,975.8683719
293,-182849,-2325164,976.5593628
294,-182915,-2325194,976.1549188
295,-182982,-2325716,974.85444
296,-183186,-2325876,975.1767408
297,-183262,-2326186,977.6567001
298,-183076,-2326095,977.9702508
299,-182872,-2326111,979.3117722
300,-183029,-2325994,977.2734717
301,-183548,-2326410,978.7901323
302,-183679,-2326611,978.4856168
303,-183858,-2326772,979.7933321
304,-184077,-2326790,979.1943739
305,-184344,-2326769,976.9985104
306,-184140,-2325484,971.2089792
307,-184244,-2325827,969.7684204
308,-184360,-2326170,972.6731547
309,-184500,-2326159,971.2306627
310,-184383,-2325324,972.1969622
311,-184474,-2325352,971.141285
312,-184439,-2325706,969.6316433
313,-184466,-2326372,973.5179337
314,-184373,-2326485,975.0655159
315,-184412,-2326658,975.997026
316,-183663,-2326084,974.8765595
317,-183442,-2325715,973.7167867
318,-183115,-2325776,974.8135144
319,-182912,-2325968,977.4801603
320,-182801,-2325695,976.0905565
321,-182809,-2326116,980.2321843
322,-183081,-2326482,981.0832034
323,-183093,-2326797,982.8719911
324,-183230,-2326751,981.9871505
325,-183356,-2325757,973.3925911
326,-183307,-2326112,976.6514249
327,-183045,-2326027,977.4883312
328,-183432,-2325258,976.1292952
329,-183495,-2325253,976.0781506
330,-183603,-2325491,972.7257306
331,-183763,-2325725,973.0571896
332,-183928,-2326204,974.290199
333,-184043,-2326195,974.0379817
334,-184094,-2325874,971.3140804
335,-184187,-2326078,972.2322815
336,-184016,-2325529,972.3245824
337,-184494,-2325596,969.8330258
338,-184684,-2325581,970.9423663
339,-184817,-2325325,975.7510339
340,-184988,-2325698,974.7476465
341,-185030,-2325906,974.1704499
342,-185049,-2326150,975.9805844
343,-185082,-2326394,978.0296506
344,-185101,-2326639,980.6316141
345,-184912,-2326196,974.8290265
346,-184856,-2326447,975.2143828
347,-184752,-2325787,971.3980767
348,-184581,-2325730,969.8597728
349,-184325,-2325891,970.9045815
350,-184249,-2326214,973.5738165
351,-184209,-2326041,972.1670522
352,-184033,-2325914,971.9050329
353,-182741,-2325418,976.1919414
354,-182643,-2325637,977.6579362
355,-182683,-2325810,978.1126516
356,-182707,-2326124,981.078484
357,-182729,-2326404,984.443244
358,-182696,-2325492,976.6326575
359,-182678,-2325107,978.1489337
360,-182665,-2324932,979.0300395
361,-182719,-2325139,977.3934359
362,-182942,-2325051,976.4850118
363,-183031,-2325044,976.6350261
364,-183209,-2325030,976.7034801
365,-183323,-2325021,976.2364573
366,-183425,-2325013,977.6361666
367,-183669,-2325029,977.5406534
368,-183648,-2325241,975.5732306
369,-183614,-2326756,979.9168022
370,-183461,-2326768,980.5175649
371,-183296,-2326781,982.3854698
372,-182838,-2326817,985.6693395
373,-182925,-2326459,982.7965871
374,-183619,-2326334,977.819703
375,-184535,-2326754,977.2214521
376,-184992,-2326718,979.3980242
377,-184881,-2326762,979.5627867
378,-184709,-2326212,972.9002042
379,-184557,-2326225,972.8511616
380,-184796,-2326346,974.4023057
381,-184881,-2325636,973.4642225
382,-184747,-2325401,973.0508445
383,-184918,-2325950,972.4754408
384,-184443,-2326726,977.0129717
385,-184229,-2326778,977.2324303
386,-184110,-2326717,977.9602251
387,-184131,-2325696,970.149111
388,-184384,-2325500,970.6066523
389,-184435,-2325988,971.1659526
390,-184710,-2325263,974.6880047
391,-184668,-2325372,973.2163561
392,-184256,-2325334,971.5375074
393,-184287,-2325085,975.1216151
394,-184041,-2325210,974.1690296
395,-183933,-2325289,974.3320619
396,-183943,-2325746,971.717705
397,-183105,-2325495,974.0163057
398,-183276,-2325236,975.7147033
399,-183218,-2325310,974.0433615
400,-183173,-2325384,973.9341456
401,-183197,-2325523,974.3497779
402,-183342,-2325582,973.4757624
403,-183382,-2325438,974.4859495
404,-183529,-2325849,973.0454373
405,-183553,-2325987,974.2066735
406,-183335,-2326145,976.512118
407,-183382,-2326247,977.5810445
408,-183339,-2326356,978.6609712
409,-183185,-2326016,976.4441216
410,-183163,-2326229,978.7483608
411,-183177,-2326404,980.3924345
412,-182987,-2326102,978.699006
413,-182771,-2325803,977.1811969
414,-183784,-2326321,976.1677779
415,-183832,-2326282,975.9998946
416,-184406,-2325779,970.201373
417,-185389,-2326405,982.9498354
418,-185383,-2326159,981.0945154
419,-185280,-2326800,982.6135838
420,-185169,-2326844,982.1392183
421,-185214,-2326770,982.4584436
422,-185074,-2326781,980.6763917
423,-185357,-2325844,980.1982669
424,-184899,-2326830,979.781719
425,-184820,-2326802,979.0748997
426,-184703,-2326776,977.5287424
427,-184677,-2326778,977.2762571
428,-184546,-2326894,978.4614726
429,-184454,-2326866,978.5816172
430,-184390,-2326871,978.9155696
431,-184156,-2326819,978.699448
432,-184063,-2326932,979.8024958
433,-183872,-2326947,980.6842345
434,-183971,-2326904,980.0316417
435,-183767,-2326920,981.2126634
436,-183686,-2326856,981.1845388
437,-182773,-2326963,987.5585019
438,-182958,-2326878,984.9090943
439,-182769,-2326753,987.0927874
440,-182804,-2326539,984.9447396
441,-182769,-2326260,982.375599
442,-183005,-2326171,979.3537662
443,-183057,-2326343,980.6415453
444,-183441,-2326348,978.0133835
445,-183489,-2326801,980.8888851
446,-183337,-2326813,981.7924903
447,-183622,-2326369,977.6904838
448,-183095,-2326832,982.1853664
449,-183019,-2326838,983.6835639
450,-182942,-2326352,981.750452
451,-183983,-2326411,976.2779055
452,-183603,-2326300,977.4402944
453,-183182,-2326790,982.6926996
454,-183685,-2325872,973.3931353
455,-183948,-2326132,973.7616698
456,-184329,-2326102,972.487422
457,-185216,-2326313,979.1358585
458,-185191,-2325998,976.6607113
459,-185194,-2325717,976.5198318
460,-185096,-2326252,976.9099942
461,-182896,-2325758,975.8811634
462,-183734,-2325199,974.9062531
463,-183771,-2325830,972.4018437
464,-183577,-2326126,975.6604761
465,-184165,-2326291,974.3575092
466,-184351,-2325889,970.7517513
467,-184188,-2325937,971.0472377
468,-184037,-2326442,975.7685505
469,-184449,-2326479,974.7404906
470,-184555,-2326365,973.8919088
471,-184807,-2325994,972.5694777
472,-184760,-2326208,973.2087197
473,-184487,-2326160,971.6746054
474,-184160,-2326221,973.6352797
475,-184158,-2325553,969.4844446
476,-183719,-2325658,973.3595563
477,-183856,-2325295,974.4470586
478,-183837,-2325051,976.9251034
479,-183943,-2324937,977.2878837
480,-183614,-2325139,976.7809427
481,-183474,-2325150,977.3319464
482,-182894,-2325090,976.5883138
483,-182810,-2324991,977.1806031
484,-183463,-2325326,975.3296754
485,-183940,-2325711,971.9032882
486,-184085,-2326086,972.9750911
487,-184368,-2326591,975.1978931
488,-184683,-2326531,975.2580235
489,-184993,-2326084,974.4395133
490,-184054,-2326335,975.2488125
491,-182919,-2326213,980.4888027
492,-182732,-2325947,978.7659654
493,-183566,-2325670,971.1394532
494,-183718,-2325482,973.0427219
495,-183749,-2326042,974.1107782
496,-183664,-2326260,976.7111424
497,-183658,-2326507,978.6076392
498,-183079,-2325814,975.28095
499,-182904,-2326355,982.3280307
500,-182860,-2326605,985.0005166
501,-182844,-2326078,979.3722603
502,-182744,-2325453,975.8997417
503,-183581,-2326020,974.6153173
504,-183756,-2325971,973.6710427
505,-184224,-2326708,977.2403601
506,-184971,-2326614,978.9373418
507,-185321,-2326515,982.9316117
508,-185291,-2325814,978.6555119
509,-185199,-2325294,983.1201625
510,-185007,-2325134,979.9929595
511,-184612,-2324989,976.9913416
512,-184743,-2324873,979.5001164
513,-183808,-2324842,979.0714082
514,-183595,-2324894,978.9193675
515,-184335,-2326172,972.7539623
516,-184170,-2326677,977.5564774
517,-183545,-2326691,979.4568562
518,-183230,-2326751,981.9871505
519,-183014,-2326768,983.7152299
520,-182912,-2326776,984.8548569
521,-182843,-2326712,986.2956312
522,-182737,-2325524,976.4325916
523,-184005,-2325881,971.7220137
524,-184049,-2325632,971.267901
525,-183904,-2325573,971.3811736
526,-183822,-2325509,972.9394405
527,-184003,-2325530,972.380121
528,-184666,-2325512,971.977581
529,-184756,-2325998,972.2840635
530,-184150,-2326257,973.9075111
531,-183322,-2325971,975.0720315
532,-182994,-2325539,974.9247389
533,-182743,-2325278,976.9549684
534,-182777,-2325064,977.0862099
535,-183065,-2325147,975.8345346
536,-183020,-2325221,975.1183571
537,-183810,-2325193,976.013154
538,-184304,-2325295,972.213619
539,-183360,-2326460,979.106426
540,-183364,-2326671,981.0832342
541,-184500,-2326159,971.2306627
542,-184591,-2326011,970.9211643
543,-184901,-2326373,975.6243659
544,-185190,-2326315,978.8303327
545,-185077,-2325691,976.1034697
546,-184981,-2325452,976.1103459
547,-184970,-2325312,977.4138208
548,-184787,-2325749,972.0899324
549,-184196,-2325866,970.4931401
550,-183214,-2325909,975.4244967
551,-182892,-2326356,982.435424
552,-182740,-2326544,985.5022558
553,-182716,-2326405,984.7267367
554,-183131,-2326478,981.1274691
555,-183160,-2326511,981.0558688
556,-183616,-2325490,971.7190849
557,-183616,-2325490,971.7190849
558,-183560,-2325424,973.9565272
559,-182926,-2325650,975.3374901
560,-183001,-2325961,977.2215086
561,-183183,-2326157,977.8974402
562,-184010,-2326584,977.5341227
563,-184255,-2326776,976.6082924
564,-185276,-2325781,977.7667358
565,-185292,-2325990,978.6504005
566,-183959,-2326272,974.9591173
567,-184131,-2325696,970.149111
568,-184314,-2326068,972.15625
569,-184386,-2326168,972.0455943
570,-184437,-2326164,972.2046712
571,-184488,-2325527,970.114602
572,-184450,-2325530,967.7723557
573,-183682,-2325837,973.2632752
574,-183457,-2325573,973.2209361
